id,value,p(s),frequency,is_destination
24,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",2.9984108422536055e-05,1,0
25,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.006236694551887499,208,1
26,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",8.995232526760817e-05,3,0
27,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",5.996821684507211e-05,2,0
28,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",2.9984108422536055e-05,1,0
29,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.000539713951605649,18,1
30,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0010494437947887619,35,0
31,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0003598093010704327,12,0
32,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0009295073610986177,31,1
33,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",0.00014992054211268027,5,0
34,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.004647536805493089,155,1
35,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",5.996821684507211e-05,2,0
36,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0004797457347605769,16,0
37,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.00023987286738028844,8,0
38,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.01625138676501454,542,1
39,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",2.9984108422536055e-05,1,0
40,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",2.9984108422536055e-05,1,0
41,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0012593325537465143,42,1
42,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0012593325537465143,42,0
43,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003298251926478966,11,0
44,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0002698569758028245,9,0
45,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.014722197235465204,491,0
46,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.001589157746394411,53,0
47,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00029984108422536054,10,0
48,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
49,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0037180294443944707,124,0
50,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0012593325537465143,42,0
51,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.001109412011633834,37,1
52,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.01565170459656382,522,0
53,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00029984108422536054,10,0
54,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00029984108422536054,10,0
55,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00044976162633804086,15,0
56,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003298251926478966,11,0
57,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0029084585169859975,97,0
58,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0004197775179155048,14,1
59,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.005037330214986057,168,0
60,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0012593325537465143,42,1
61,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0004797457347605769,16,0
62,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00017990465053521634,6,0
63,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
64,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.017840544511408953,595,1
65,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.01559173637971875,520,1
66,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(CENTER), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
67,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.002668585649605709,89,1
68,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.013013103055380648,434,0
69,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0014692213127042667,49,0
70,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0017390782885070913,58,0
71,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.02608617432760637,870,1
72,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.000509729843183113,17,0
73,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0025486492159155646,85,0
74,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.013043087163803185,435,1
75,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0037180294443944707,124,1
76,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.004527600371802944,151,1
77,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0013193007705915864,44,1
78,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.004917393781295913,164,1
79,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.023297652244310515,777,1
80,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.000509729843183113,17,1
81,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00023987286738028844,8,1
82,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00044976162633804086,15,0
83,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00017990465053521634,6,0
84,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0003598093010704327,12,0
